253,IDXX,"IDEXX Laboratories, Inc.",35.87B,441.03,-3.67%,3.90B
254,HSY,The Hershey Company,34.88B,172.34,0.61%,11.20B
255,PCG,PG&E Corporation,34.83B,15.88,-1.00%,24.42B
256,ED,"Consolidated Edison, Inc.",34.64B,99.92,-0.04%,15.26B
257,ACGL,Arch Capital Group Ltd.,34.53B,92.1,2.82%,17.44B
258,DXCM,"DexCom, Inc.",34.31B,87.81,-2.34%,4.03B
259,VICI,VICI Properties Inc.,34.15B,32.33,-0.15%,3.85B
260,EA,Electronic Arts Inc.,34.00B,130.46,-0.56%,7.35B
261,RMD,ResMed Inc.,33.97B,231.28,-1.42%,4.93B
262,EXR,Extra Space Storage Inc.,33.85B,153.45,-0.30%,3.34B
263,DD,"DuPont de Nemours, Inc.",33.83B,80.92,-0.65%,12.39B
264,WEC,"WEC Energy Group, Inc.",33.55B,105.6,-0.10%,8.60B
265,HIG,"The Hartford Insurance Group, Inc.",33.52B,117.47,1.64%,26.56B
266,IR,Ingersoll Rand Inc.,33.49B,83.09,-0.32%,7.24B
267,WTW,Willis Towers Watson Public Limited Company,33.43B,335.29,-0.31%,9.93B
268,BRO,"Brown & Brown, Inc.",33.31B,116.5,1.49%,4.71B
269,GIS,"General Mills, Inc.",33.12B,59.98,1.16%,19.90B
270,IQV,IQVIA Holdings Inc.,32.84B,186.5,-2.33%,15.41B
271,LYV,"Live Nation Entertainment, Inc.",32.58B,140.96,-0.84%,23.16B
272,VMC,Vulcan Materials Company,32.38B,245.12,-2.16%,7.42B
273,ROK,"Rockwell Automation, Inc.",32.15B,284.33,-0.96%,8.09B
274,LEN,Lennar Corporation,31.96B,120.37,-0.95%,35.44B
275,AVB,"AvalonBay Communities, Inc.",31.68B,223.02,0.65%,2.96B
276,NUE,Nucor Corporation,31.66B,134.81,0.18%,30.73B
277,HUM,Humana Inc.,31.54B,261.44,2.50%,117.76B
278,LVS,Las Vegas Sands Corp.,31.31B,43.74,0.02%,11.30B
279,STZ,"Constellation Brands, Inc.",31.31B,173.24,-2.87%,10.18B
280,XYL,Xylem Inc.,31.29B,128.78,0.22%,8.56B
281,HPQ,HP Inc.,31.24B,33.13,-2.07%,53.88B
282,TPL,Texas Pacific Land Corporation,31.17B,"1,356.02",0.34%,705.82M
283,MTB,M&T Bank Corporation,31.13B,189.44,-0.14%,8.67B
284,RJF,"Raymond James Financial, Inc.",31.09B,151.73,0.22%,13.24B
285,WAB,Westinghouse Air Brake Technologies Corporation,30.96B,181.19,-0.99%,10.39B
286,CAH,"Cardinal Health, Inc.",30.79B,127.47,0.23%,222.28B
287,CCL,Carnival Corporation & plc,30.76B,23.5,-2.57%,25.02B
288,MCHP,Microchip Technology Incorporated,30.72B,57.12,-4.43%,4.76B
289,CSGP,"CoStar Group, Inc.",30.50B,74.36,-3.33%,2.74B
290,EBAY,eBay Inc.,30.41B,63.48,-8.19%,10.28B
291,UAL,"United Airlines Holdings, Inc.",30.31B,92.17,-5.37%,57.06B
292,VTR,"Ventas, Inc.",30.25B,68.66,0.56%,4.89B
293,EFX,Equifax Inc.,30.09B,242.62,-0.41%,5.68B
294,IP,International Paper Company,29.59B,56.25,0.93%,18.62B
295,MLM,"Martin Marietta Materials, Inc.",29.41B,482.34,-1.79%,6.54B
296,MPWR,"Monolithic Power Systems, Inc.",29.14B,609.38,-9.26%,2.21B
297,TSCO,Tractor Supply Company,29.09B,54.72,-0.76%,14.88B
298,ANSS,"ANSYS, Inc.",28.96B,330.37,-0.59%,2.54B
299,CNC,Centene Corporation,28.86B,58.19,2.27%,147.17B
300,EQR,Equity Residential,28.85B,73.68,1.18%,2.98B
301,FITB,Fifth Third Bancorp,28.61B,42.98,0.35%,7.95B
302,K,Kellanova,28.48B,82.5,-0.15%,12.75B
303,STT,State Street Corporation,28.13B,97.52,0.20%,12.93B
304,EQT,EQT Corporation,27.86B,46.63,-4.43%,5.04B
305,BR,"Broadridge Financial Solutions, Inc.",27.78B,237.42,0.46%,6.68B
306,KEYS,"Keysight Technologies, Inc.",27.39B,158.21,-1.34%,5.02B
307,DTE,DTE Energy Company,27.32B,131.84,-0.61%,12.46B
308,FTV,Fortive Corporation,27.09B,79.6,-0.39%,6.23B
309,DOW,Dow Inc.,27.05B,38.43,-1.08%,42.96B
310,WBD,"Warner Bros. Discovery, Inc.",26.98B,11,4.76%,39.32B
311,DOV,Dover Corporation,26.97B,196.51,-0.59%,7.75B
312,IRM,Iron Mountain Incorporated,26.94B,91.72,-1.46%,6.15B
313,CHD,"Church & Dwight Co., Inc.",26.90B,109.37,0.72%,6.11B
314,AEE,Ameren Corporation,26.85B,99.47,0.14%,7.32B
315,SW,Smurfit Westrock Plc,26.80B,51.69,-3.42%,21.11B
316,EL,The Estée Lauder Companies Inc.,26.25B,72.97,-0.42%,15.18B
317,MTD,Mettler-Toledo International Inc.,26.21B,"1,253.30",-2.81%,3.87B
318,AWK,"American Water Works Company, Inc.",26.13B,134.02,-0.77%,4.68B
319,HPE,Hewlett Packard Enterprise Company,26.06B,19.84,-2.60%,30.13B
320,TYL,"Tyler Technologies, Inc.",26.04B,605.41,-1.79%,2.14B
321,PPG,"PPG Industries, Inc.",25.80B,113.68,-1.18%,15.85B
322,FOXA,Fox Corporation,25.58B,56.41,-0.76%,15.18B
323,GPN,Global Payments Inc.,25.57B,103.25,1.70%,10.11B
324,SMCI,"Super Micro Computer, Inc.",25.49B,42.95,-15.97%,20.82B
325,PPL,PPL Corporation,25.43B,34.45,-1.20%,8.46B
326,CPAY,"Corpay, Inc.",25.41B,364.47,-1.98%,3.97B
327,EXPE,"Expedia Group, Inc.",24.94B,193.55,-3.00%,13.69B
328,ROL,"Rollins, Inc.",24.89B,51.4,0.25%,3.39B
329,FOX,Fox Corporation,24.75B,52.9,-0.77%,15.18B
330,GDDY,GoDaddy Inc.,24.73B,174.94,-1.14%,4.57B
331,LYB,LyondellBasell Industries N.V.,24.65B,75.99,-0.28%,40.30B
332,VLTO,Veralto Corporation,24.55B,99.16,-0.56%,5.19B
333,NTAP,"NetApp, Inc.",24.03B,118.22,-5.04%,6.51B
334,ATO,Atmos Energy Corporation,23.75B,149.64,-0.23%,4.18B
335,CDW,CDW Corporation,23.72B,179,-0.68%,21.00B
336,HBAN,Huntington Bancshares Incorporated,23.57B,16.21,0.93%,6.95B
337,WRB,W. R. Berkley Corporation,23.56B,62.12,1.19%,13.64B
338,SBAC,SBA Communications Corporation,23.47B,218.2,1.26%,2.68B
339,TDY,Teledyne Technologies Incorporated,23.46B,500.86,-0.09%,5.67B
340,DVN,Devon Energy Corporation,23.27B,35.88,1.18%,15.17B
341,TROW,"T. Rowe Price Group, Inc.",23.09B,103.73,-0.96%,7.09B
342,SYF,Synchrony Financial,23.04B,59.26,-0.79%,9.39B
343,ES,Eversource Energy,22.89B,62.41,-1.65%,11.90B
344,DRI,"Darden Restaurants, Inc.",22.83B,194.92,0.45%,11.58B
345,HAL,Halliburton Company,22.66B,26.1,0.69%,22.94B
346,CINF,Cincinnati Financial Corporation,22.63B,144.55,3.12%,11.34B
347,ADM,Archer-Daniels-Midland Company,22.35B,46.59,-0.83%,85.53B
348,VRSN,"VeriSign, Inc.",22.23B,235.03,-0.86%,1.56B
349,FE,FirstEnergy Corp.,22.21B,38.54,-10.48%,13.26B
350,WAT,Waters Corporation,22.16B,373.06,-3.10%,2.96B
351,CNP,"CenterPoint Energy, Inc.",21.99B,33.74,-0.88%,8.64B
352,MKC,"McCormick & Company, Incorporated",21.89B,81.64,1.85%,6.72B
353,WY,Weyerhaeuser Company,21.81B,30.06,0.77%,7.12B
354,CBOE,"Cboe Global Markets, Inc.",21.77B,208,1.31%,4.09B
355,TSN,"Tyson Foods, Inc.",21.72B,60.99,1.14%,53.61B
356,STE,STERIS plc,21.62B,220.07,-1.34%,5.40B
357,CMS,CMS Energy Corporation,21.61B,72.34,-1.17%,7.52B
358,NVR,"NVR, Inc.",21.48B,"7,181.95",-0.38%,10.69B
359,LII,Lennox International Inc.,21.43B,602.25,-3.33%,5.34B
360,NTRS,Northern Trust Corporation,21.35B,109.12,-0.25%,8.29B
361,STX,Seagate Technology Holdings plc,21.31B,100.67,0.40%,8.04B
362,RF,Regions Financial Corporation,21.19B,23.4,0.09%,6.60B
363,ERIE,Erie Indemnity Company,21.18B,404.98,1.33%,3.80B
364,DECK,Deckers Outdoor Corporation,21.02B,138.49,-4.47%,4.92B
365,NRG,"NRG Energy, Inc.",20.88B,105.11,-7.25%,28.13B
366,PHM,"PulteGroup, Inc.",20.84B,102.92,-1.46%,17.95B
367,LH,Labcorp Holdings Inc.,20.74B,247.79,-1.42%,13.01B
368,IFF,International Flavors & Fragrances Inc.,20.72B,81.04,0.58%,11.48B
369,ZBH,"Zimmer Biomet Holdings, Inc.",20.71B,104.05,-0.83%,7.68B
370,INVH,Invitation Homes Inc.,20.48B,33.32,5.54%,2.62B
